Customer ID,Recency,Frequency,Monetary
101,0,1,1120.2
102,0,1,780.5
103,0,1,510.75
104,0,1,1480.3
105,0,1,720.4
106,0,1,440.8
107,0,1,1150.6
108,0,1,800.9
109,0,1,495.25
110,0,1,1520.1
111,0,1,690.3
112,0,1,470.5
113,0,1,1200.8
114,0,1,820.75
115,0,1,530.4
116,0,1,1360.2
117,0,1,700.6
118,0,1,450.9
119,0,1,1170.3
120,0,1,790.2
121,0,1,505.75
122,0,1,1470.5
123,0,1,710.4
124,0,1,430.8
125,0,1,1140.6
126,0,1,810.9
127,0,1,485.25
128,0,1,1500.1
129,0,1,670.3
130,0,1,460.5
131,0,1,1190.8
132,0,1,830.75
133,0,1,520.4
134,0,1,1370.2
135,0,1,690.6
136,0,1,440.9
137,0,1,1160.3
138,0,1,800.2
139,0,1,500.75
140,0,1,1460.5
141,0,1,700.4
142,0,1,420.8
143,0,1,1130.6
144,0,1,820.9
145,0,1,480.25
146,0,1,1490.1
147,0,1,680.3
148,0,1,470.5
149,0,1,1180.8
150,0,1,790.2
151,0,1,505.75
152,0,1,1470.5
153,0,1,710.4
154,0,1,430.8
155,0,1,1140.6
156,0,1,810.9
157,0,1,485.25
158,0,1,1500.1
159,0,1,670.3
160,0,1,460.5
161,0,1,1190.8
162,0,1,830.75
163,0,1,520.4
164,0,1,1370.2
165,0,1,690.6
166,0,1,440.9
167,0,1,1160.3
168,0,1,800.2
169,0,1,500.75
170,0,1,1460.5
171,0,1,700.4
172,0,1,420.8
173,0,1,1130.6
174,0,1,820.9
175,0,1,480.25
176,0,1,1490.1
177,0,1,680.3
178,0,1,470.5
179,0,1,1180.8
180,0,1,790.2
181,0,1,505.75
182,0,1,1470.5
183,0,1,710.4
184,0,1,430.8
185,0,1,1140.6
186,0,1,810.9
187,0,1,485.25
188,0,1,1500.1
189,0,1,670.3
190,0,1,460.5
191,0,1,1190.8
192,0,1,830.75
193,0,1,520.4
194,0,1,1370.2
195,0,1,690.6
196,0,1,440.9
197,0,1,1160.3
198,0,1,800.2
199,0,1,500.75
200,0,1,1460.5
201,0,1,700.4
202,0,1,420.8
203,0,1,1130.6
204,0,1,820.9
205,0,1,480.25
206,0,1,1490.1
207,0,1,680.3
208,0,1,470.5
209,0,1,1180.8
210,0,1,790.2
211,0,1,505.75
212,0,1,1470.5
213,0,1,710.4
214,0,1,430.8
215,0,1,1140.6
216,0,1,810.9
217,0,1,485.25
218,0,1,1500.1
219,0,1,670.3
220,0,1,460.5
221,0,1,1190.8
222,0,1,830.75
223,0,1,520.4
224,0,1,1370.2
225,0,1,690.6
226,0,1,440.9
227,0,1,1160.3
228,0,1,800.2
229,0,1,500.75
230,0,1,1460.5
231,0,1,700.4
232,0,1,420.8
233,0,1,1130.6
234,0,1,820.9
235,0,1,480.25
236,0,1,1490.1
237,0,1,680.3
238,0,1,470.5
239,0,1,1180.8
240,0,1,790.2
241,0,1,505.75
242,0,1,1470.5
243,0,1,710.4
244,0,1,430.8
245,0,1,1130.6
246,0,1,820.9
247,0,1,480.25
248,0,1,1490.1
249,0,1,680.3
250,0,1,470.5
251,0,1,1180.8
252,0,1,790.2
253,0,1,505.75
254,0,1,1470.5
255,0,1,710.4
256,0,1,430.8
257,0,1,1140.6
258,0,1,810.9
259,0,1,485.25
260,0,1,1500.1
261,0,1,670.3
262,0,1,460.5
263,0,1,1190.8
264,0,1,830.75
265,0,1,520.4
266,0,1,1370.2
267,0,1,690.6
268,0,1,440.9
269,0,1,1160.3
270,0,1,800.2
271,0,1,500.75
272,0,1,1460.5
273,0,1,700.4
274,0,1,430.8
275,0,1,1140.6
276,0,1,820.9
277,0,1,480.25
278,0,1,1490.1
279,0,1,680.3
280,0,1,470.5
281,0,1,1180.8
282,0,1,790.2
283,0,1,505.75
284,0,1,1470.5
285,0,1,710.4
286,0,1,430.8
287,0,1,1130.6
288,0,1,820.9
289,0,1,485.25
290,0,1,1500.1
291,0,1,670.3
292,0,1,460.5
293,0,1,1190.8
294,0,1,830.75
295,0,1,520.4
296,0,1,1370.2
297,0,1,690.6
298,0,1,440.9
299,0,1,1160.3
300,0,1,800.2
301,0,1,1420.8
302,0,1,730.4
303,0,1,450.6
304,0,1,1210.6
305,0,1,780.9
306,0,1,495.25
307,0,1,1390.2
308,0,1,670.6
309,0,1,460.9
310,0,1,1170.3
311,0,1,810.2
312,0,1,515.75
313,0,1,1450.5
314,0,1,690.4
315,0,1,420.8
316,0,1,1130.6
317,0,1,820.9
318,0,1,480.25
319,0,1,1490.1
320,0,1,680.3
321,0,1,470.5
322,0,1,1180.8
323,0,1,790.2
324,0,1,505.75
325,0,1,1470.5
326,0,1,710.4
327,0,1,430.8
328,0,1,1140.6
329,0,1,820.9
330,0,1,485.25
331,0,1,1500.1
332,0,1,670.3
333,0,1,460.5
334,0,1,1190.8
335,0,1,830.75
336,0,1,520.4
337,0,1,1370.2
338,0,1,690.6
339,0,1,440.9
340,0,1,1160.3
341,0,1,800.2
342,0,1,525.75
343,0,1,1460.5
344,0,1,720.4
345,0,1,440.8
346,0,1,1150.6
347,0,1,830.9
348,0,1,490.25
349,0,1,1480.1
350,0,1,690.3
351,0,1,480.5
352,0,1,1170.8
353,0,1,790.2
354,0,1,510.75
355,0,1,1440.5
356,0,1,700.4
357,0,1,410.8
358,0,1,1160.6
359,0,1,810.9
360,0,1,495.25
361,0,1,1490.1
362,0,1,660.3
363,0,1,430.5
364,0,1,1200.8
365,0,1,780.2
366,0,1,505.75
367,0,1,1460.5
368,0,1,710.4
369,0,1,450.8
370,0,1,1140.6
371,0,1,800.9
372,0,1,475.25
373,0,1,1480.1
374,0,1,660.3
375,0,1,470.5
376,0,1,1190.8
377,0,1,770.2
378,0,1,515.75
379,0,1,1450.5
380,0,1,710.4
381,0,1,430.8
382,0,1,1160.6
383,0,1,820.9
384,0,1,495.25
385,0,1,1490.1
386,0,1,660.3
387,0,1,440.5
388,0,1,1200.8
389,0,1,780.2
390,0,1,505.75
391,0,1,1460.5
392,0,1,710.4
393,0,1,450.8
394,0,1,1140.6
395,0,1,800.9
396,0,1,475.25
397,0,1,1480.1
398,0,1,660.3
399,0,1,470.5
400,0,1,1190.8
401,0,1,800.2
402,0,1,515.75
403,0,1,1450.5
404,0,1,710.4
405,0,1,430.8
406,0,1,1160.6
407,0,1,820.9
408,0,1,495.25
409,0,1,1490.1
410,0,1,660.3
411,0,1,440.5
412,0,1,1200.8
413,0,1,780.2
414,0,1,505.75
415,0,1,1460.5
416,0,1,710.4
417,0,1,450.8
418,0,1,1140.6
419,0,1,800.9
420,0,1,475.25
421,0,1,1480.1
422,0,1,660.3
423,0,1,470.5
424,0,1,1190.8
425,0,1,780.2
426,0,1,515.75
427,0,1,1450.5
428,0,1,710.4
429,0,1,430.8
430,0,1,1160.6
431,0,1,820.9
432,0,1,495.25
433,0,1,1490.1
434,0,1,660.3
435,0,1,440.5
436,0,1,1200.8
437,0,1,780.2
438,0,1,505.75
439,0,1,1460.5
440,0,1,710.4
441,0,1,450.8
442,0,1,1140.6
443,0,1,800.9
444,0,1,475.25
445,0,1,1480.1
446,0,1,660.3
447,0,1,470.5
448,0,1,1190.8
449,0,1,780.2
450,0,1,515.75
